KI Date,Site,Observer,Transect,Species Code,Species,Size (cm),Number,"Sexual Phase (TP, IP, juv)",Time,Depth (m),Slope,Note,,KI Date,Site,Observer,Transect,Species Code,Species,Size (cm),Number,"Sexual Phase (TP, IP, juv)",Time,Depth,Slope,Note
2019-07-19,25,SD,2,,Ctenochaetus marginatus,20,1,,1551,10.1,2,,,,,,,,,,,,,,,
2019-07-19,25,SD,2,,Ctenochaetus marginatus,21,1,,1551,10.1,2,,,,,,,,,,,,,,,
2019-07-19,25,SD,2,,Melichthys niger,20,2,,1551,10.1,2,,,,,,,,,,,,,,,
2019-07-19,25,SD,2,,Melichthys niger,22,2,,1551,10.1,2,,,,,,,,,,,,,,,
2019-07-19,25,SD,2,,Canthigaster solandri,12,2,,1551,10.1,2,,,,,,,,,,,,,,,
2019-07-19,25,SD,3,,Cephalopholis argus,26,1,,1607,10.7,2,Current,,,,,,,,,,,,,,
2019-07-19,25,SD,3,,Cephalopholis argus,25,1,,1607,10.7,2,Current,,,,,,,,,,,,,,
2019-07-19,25,SD,3,,Cephalopholis argus,18,1,,1607,10.7,2,Current,,,,,,,,,,,,,,
2019-07-19,25,SD,3,,Cephalopholis urodeta,12,1,,1607,10.7,2,Current,,,,,,,,,,,,,,
2019-07-19,25,SD,3,,Pseudanthias dispar,7,10,,1607,10.7,2,Current,,,,,,,,,,,,,,
2019-07-19,25,SD,3,,Pseudanthias dispar,5,30,,1607,10.7,2,Current,,,,,,,,,,,,,,
2019-07-19,25,SD,3,,Cirrhitichthys oxycephalus,7,2,,1607,10.7,2,Current,,,,,,,,,,,,,,
2019-07-19,25,SD,3,,Plagiotremus tapeinosoma,8,1,,1607,10.7,2,Current,,,,,,,,,,,,,,
2019-07-19,25,SD,3,,Centropyge flavissima,7,1,,1607,10.7,2,Current,,,,,,,,,,,,,,
2019-07-19,25,SD,3,,Chromis margaritifer,2,5,,1607,10.7,2,Current,,,,,,,,,,,,,,
2019-07-19,25,SD,3,,Chromis vanderbilti,4,64,,1607,10.7,2,Current,,,,,,,,,,,,,,
2019-07-19,25,SD,3,,Plectroglyphidodon dickii,7,1,,1607,10.7,2,Current,,,,,,,,,,,,,,
2019-07-19,25,SD,3,,Plectroglyphidodon dickii,5,1,,1607,10.7,2,Current,,,,,,,,,,,,,,
2019-07-19,25,SD,3,,Stegastes aureus,12,2,,1607,10.7,2,Current,,,,,,,,,,,,,,
2019-07-19,25,SD,3,,Stegastes aureus,10,1,,1607,10.7,2,Current,,,,,,,,,,,,,,
2019-07-19,25,SD,3,,Stegastes aureus,6,1,,1607,10.7,2,Current,,,,,,,,,,,,,,
2019-07-19,25,SD,3,,Cheilinus trilobatus,21,1,,1607,10.7,2,Current,,,,,,,,,,,,,,
2019-07-19,25,SD,3,,Labroides dimidiatus,8,2,,1607,10.7,2,Current,,,,,,,,,,,,,,
2019-07-19,25,SD,3,,Oxycheilinus unifasciatus,25,1,,1607,10.7,2,Current,,,,,,,,,,,,,,
2019-07-19,25,SD,3,,Oxycheilinus unifasciatus,27,1,,1607,10.7,2,Current,,,,,,,,,,,,,,
2019-07-19,25,SD,3,,Pseudocheilinus octotaenia,7,1,,1607,10.7,2,Current,,,,,,,,,,,,,,
2019-07-19,25,SD,3,,Pseudocheilinus octotaenia,9,1,,1607,10.7,2,Current,,,,,,,,,,,,,,
2019-07-19,25,SD,3,,Pseudocheilinus octotaenia,6,1,,1607,10.7,2,Current,,,,,,,,,,,,,,
2019-07-19,25,SD,3,,Pseudocheilinus tetrataenia,8,1,,1607,10.7,2,Current,,,,,,,,,,,,,,
2019-07-19,25,SD,3,,Thalassoma amblycephalum,3,20,,1607,10.7,2,Current,,,,,,,,,,,,,,
2019-07-19,25,SD,3,,Thalassoma amblycephalum,5,1,,1607,10.7,2,Current,,,,,,,,,,,,,,
2019-07-19,25,SD,3,,Scarus frenatus,21,1,IP,1607,10.7,2,Current,,,,,,,,,,,,,,
2019-07-19,25,SD,3,,Scarus oviceps,25,1,IP,1607,10.7,2,Current,,,,,,,,,,,,,,
2019-07-19,25,SD,3,,Scarus oviceps,32,1,TP,1607,10.7,2,Current,,,,,,,,,,,,,,
2019-07-19,25,SD,3,,Acanthurus nigricans,13,1,,1607,10.7,2,Current,,,,,,,,,,,,,,
2019-07-19,25,SD,3,,Acanthurus nigricauda,23,1,,1607,10.7,2,Current,,,,,,,,,,,,,,
2019-07-19,25,SD,3,,Ctenochaetus cyanocheilus,8,1,,1607,10.7,2,Current,,,,,,,,,,,,,,
2019-07-19,25,SD,3,,Melichthys niger,20,1,,1607,10.7,2,Current,,,,,,,,,,,,,,
2019-07-19,25,SD,3,,Melichthys niger,21,1,,1607,10.7,2,Current,,,,,,,,,,,,,,
2019-07-19,25,SD,3,,Melichthys vidua,20,1,,1607,10.7,2,Current,,,,,,,,,,,,,,
