KI Date,Site,Observer,Transect,Species Code,Species,Size (cm),Number,"Sexual Phase (TP, IP, juv)",Time,Depth,Slope,Note
 06_07_2015,3,SD,1,,Chromis margaritifer,5,6,,15:50,31,2,
 06_07_2015,3,SD,1,,Chromis margaritifer,2,2,,15:50,31,2,
 06_07_2015,3,SD,1,,Chromis margaritifer,4,3,,15:50,31,2,
 06_07_2015,3,SD,1,,Chromis margaritifer,6,7,,15:50,31,2,
 06_07_2015,3,SD,1,,Chromis vanderbilti,5,18,,15:50,31,2,
 06_07_2015,3,SD,1,,Chromis vanderbilti,6,1,,15:50,31,2,
 06_07_2015,3,SD,1,,Plectroglyphidodon dickii,6,7,,15:50,31,2,
 06_07_2015,3,SD,1,,Plectroglyphidodon dickii,7,4,,15:50,31,2,
 06_07_2015,3,SD,1,,Stegastes aureus,9,4,,15:50,31,2,
 06_07_2015,3,SD,1,,Stegastes aureus,10,1,,15:50,31,2,
 06_07_2015,3,SD,1,,Gomphosus varius,5,1,IP,15:50,31,2,
 06_07_2015,3,SD,1,,Halichoeres ornatissimus,11,1,,15:50,31,2,
 06_07_2015,3,SD,1,,Pseudocheilinus hexataenia,7,1,,15:50,31,2,
 06_07_2015,3,SD,1,,Acanthurus lineatus,21,1,,15:50,31,2,
 06_07_2015,3,SD,1,,Ctenochaetus striatus,12,2,,15:50,31,2,
 06_07_2015,3,SD,1,,Pempheris oualensis,20,1,,15:50,31,2,
 06_07_2015,3,SD,1,,Parupeneus insularis,21,1,,16:00,31,2,
 06_07_2015,3,SD,2,,Cephalopholis urodeta,20,1,,16:15,33,2,
 06_07_2015,3,SD,2,,Cephalopholis urodeta,14,1,,16:15,33,2,
 06_07_2015,3,SD,2,,Epinephelus spilotoceps,21,1,,16:15,33,2,
 06_07_2015,3,SD,2,,Epinephelus spilotoceps,25,1,,16:15,33,2,
 06_07_2015,3,SD,2,,Paracirrhites arcatus,12,2,,16:15,33,2,
 06_07_2015,3,SD,2,,Paracirrhites arcatus,6,1,,16:15,33,2,
 06_07_2015,3,SD,2,,Paracirrhites arcatus,8,1,,16:15,33,2,
 06_07_2015,3,SD,2,,Paracirrhites forsteri,14,1,,16:15,33,2,
